City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Flagstaff,US,2022-11-21 20:54:01,35.1981,-111.6513,285.28,22,0,2.57
1,Salalah,OM,2022-11-21 20:57:23,17.0151,54.0924,298.15,70,76,1.55
2,Kodiak,US,2022-11-21 20:57:23,57.79,-152.4072,277.08,96,100,2.42
3,Sao Filipe,CV,2022-11-21 20:57:24,14.8961,-24.4956,298.06,64,93,4.48
4,Homer,US,2022-11-21 20:57:25,59.6425,-151.5483,278.02,90,100,2.31
5,Jerez,GT,2022-11-21 20:57:26,14.1,-89.75,297.81,64,48,3.09
6,Avarua,CK,2022-11-21 20:57:26,-21.2078,-159.775,299.18,61,20,7.72
7,Saint Anthony,US,2022-11-21 20:57:27,45.0205,-93.218,274.22,59,20,2.57
8,Yuksekova,TR,2022-11-21 20:55:21,37.5736,44.2872,280.19,37,99,1.8
9,Tres Arroyos,AR,2022-11-21 20:57:29,-38.3739,-60.2798,287.33,64,98,5.34
10,Luderitz,NA,2022-11-21 20:57:30,-26.6481,15.1594,289.74,83,4,4.76
11,Hithadhoo,MV,2022-11-21 20:57:30,-0.6,73.0833,300.19,77,50,5.03
12,Airai,TL,2022-11-21 20:57:31,-8.9266,125.4092,289.84,91,100,0.87
13,Guantanamo,CU,2022-11-21 20:57:32,20.1444,-75.2092,304.52,52,3,5.61
14,Santa Isabel Do Rio Negro,BR,2022-11-21 20:57:32,-0.4139,-65.0192,303.7,61,87,1.58
15,Nkhotakota,MW,2022-11-21 20:57:33,-12.9274,34.2961,300.69,61,25,5.01
16,Souillac,MU,2022-11-21 20:57:33,-20.5167,57.5167,295.36,88,20,2.06
17,Bredasdorp,ZA,2022-11-21 20:57:34,-34.5322,20.0403,289.71,68,100,0.81
18,Hilo,US,2022-11-21 20:57:35,19.7297,-155.09,299.32,84,84,0.45
19,Dikson,RU,2022-11-21 20:57:35,73.5069,80.5464,241.86,95,9,2.15
20,Kapaa,US,2022-11-21 20:57:36,22.0752,-159.319,299.88,71,49,4.02
21,Oranjemund,NA,2022-11-21 20:55:19,-28.55,16.4333,288.9,85,72,3.54
22,Provideniya,RU,2022-11-21 20:57:37,64.3833,-173.3,264.21,57,100,9.0
23,Saint George,US,2022-11-21 20:57:37,37.1041,-113.5841,286.72,23,50,0.89
24,Bethel,US,2022-11-21 20:55:40,41.3712,-73.414,277.4,40,6,1.34
25,Mataura,NZ,2022-11-21 20:57:38,-46.1927,168.8643,286.75,52,76,2.71
26,Zeya,RU,2022-11-21 20:57:39,53.75,127.2667,254.09,98,88,1.16
27,Qaanaaq,GL,2022-11-21 20:57:39,77.484,-69.3632,251.64,76,98,3.37
28,Castro,BR,2022-11-21 20:57:40,-24.7911,-50.0119,295.51,61,100,1.9
29,Petropavlovsk-Kamchatskiy,RU,2022-11-21 20:57:41,53.0452,158.6483,268.48,100,100,0.0
30,Oga,IT,2022-11-21 20:57:41,46.4631,10.347,274.45,82,83,2.0
31,Bambanglipuro,ID,2022-11-21 20:57:42,-7.95,110.2833,297.74,88,100,2.21
32,Butaritari,KI,2022-11-21 20:53:48,3.0707,172.7902,300.47,79,25,7.64
33,Carnarvon,AU,2022-11-21 20:57:42,-24.8667,113.6333,296.2,57,32,4.22
34,Iqaluit,CA,2022-11-21 20:57:43,63.7506,-68.5145,264.0,86,75,2.57
35,Port Hawkesbury,CA,2022-11-21 20:57:44,45.6169,-61.3485,272.69,71,100,8.75
36,Kaitangata,NZ,2022-11-21 20:57:44,-46.2817,169.8464,288.97,54,59,3.4
37,Adrar,MR,2022-11-21 20:57:45,20.5022,-10.0711,294.24,17,0,5.32
38,Fortuna,US,2022-11-21 20:57:45,40.5982,-124.1573,291.44,48,0,0.89
39,Busselton,AU,2022-11-21 20:57:46,-33.65,115.3333,285.88,72,0,5.5
40,Punta Arenas,CL,2022-11-21 20:57:46,-53.15,-70.9167,285.16,81,100,1.54
41,Aripuana,BR,2022-11-21 20:57:47,-9.1667,-60.6333,302.2,64,92,0.34
42,Baglung,NP,2022-11-21 20:57:47,28.2719,83.5898,286.38,47,0,2.8
43,Havelock,US,2022-11-21 20:57:48,34.8791,-76.9013,287.12,71,58,3.13
44,Parati,BR,2022-11-21 20:57:48,-23.2178,-44.7131,297.11,89,36,1.77
45,Kungurtug,RU,2022-11-21 20:58:51,50.5994,97.5228,257.5,98,93,0.9
46,Krasnoselkup,RU,2022-11-21 20:58:51,65.7,82.4667,244.8,94,16,4.84
47,Luganville,VU,2022-11-21 20:57:59,-15.5333,167.1667,301.39,77,48,2.76
48,Fukue,JP,2022-11-21 20:58:52,32.6881,128.8419,291.43,66,73,6.12
49,Katsuura,JP,2022-11-21 20:58:53,35.1333,140.3,288.49,89,16,4.08
50,Albany,US,2022-11-21 20:58:53,42.6001,-73.9662,275.86,42,8,0.45
51,Atuona,PF,2022-11-21 20:58:54,-9.8,-139.0333,298.68,67,10,7.42
52,Puerto Ayora,EC,2022-11-21 20:58:54,-0.7393,-90.3518,299.13,93,91,1.79
53,Dangriga,BZ,2022-11-21 20:58:55,16.9692,-88.2321,297.72,85,100,2.01
54,Vaini,TO,2022-11-21 20:58:56,-21.2,-175.2,300.24,78,20,3.09
55,Norman Wells,CA,2022-11-21 20:58:08,65.282,-126.8329,267.17,86,40,2.57
56,Malinyi,TZ,2022-11-21 20:58:56,-8.9333,36.1333,296.33,79,50,1.42
57,San Patricio,US,2022-11-21 20:58:57,28.017,-97.5169,282.08,86,100,6.0
58,Raga,SS,2022-11-21 20:58:57,8.4596,25.678,298.37,29,39,1.64
59,Balabac,PH,2022-11-21 20:58:58,7.9868,117.0645,300.33,81,100,3.49
60,Rikitea,PF,2022-11-21 20:58:59,-23.1203,-134.9692,295.33,86,81,3.98
61,Stepnyak,KZ,2022-11-21 20:58:59,52.8339,70.7803,259.74,79,20,4.3
62,Nome,US,2022-11-21 20:59:00,64.5011,-165.4064,269.91,95,100,2.33
63,Port Shepstone,ZA,2022-11-21 20:59:00,-30.7414,30.455,293.86,83,100,6.54
64,Mutoko,ZW,2022-11-21 20:59:01,-17.397,32.2268,291.44,72,1,2.19
65,Bako,ET,2022-11-21 20:59:01,5.7833,36.5667,294.31,53,94,1.62
66,Ushuaia,AR,2022-11-21 20:58:09,-54.8,-68.3,285.96,54,75,2.57
67,Ancud,CL,2022-11-21 20:59:02,-41.8697,-73.8203,286.92,57,61,3.76
68,Martapura,ID,2022-11-21 20:59:04,-3.4167,114.85,297.2,88,75,3.6
69,Nguruka,TZ,2022-11-21 20:59:06,-5.1092,31.0419,291.55,91,100,1.53
70,Linxia,CN,2022-11-21 20:59:06,35.6003,103.2064,274.07,52,0,0.74
71,Mogadishu,SO,2022-11-21 20:55:38,2.0371,45.3438,299.33,79,9,4.84
72,Saint-Georges,GD,2022-11-21 20:59:08,12.0564,-61.7485,298.97,89,40,3.09
73,Khatanga,RU,2022-11-21 20:59:08,71.9667,102.5,233.83,100,64,0.38
74,Healdsburg,US,2022-11-21 20:59:09,38.6105,-122.8692,293.4,34,67,0.51
75,Dingle,PH,2022-11-21 20:59:10,10.9995,122.6711,297.11,91,97,2.21
76,Ulladulla,AU,2022-11-21 20:59:10,-35.35,150.4667,285.62,47,0,6.78
77,Ponta Do Sol,PT,2022-11-21 20:59:11,32.6667,-17.1,292.5,77,28,0.77
78,Barrow,US,2022-11-21 20:59:11,71.2906,-156.7887,266.7,73,100,7.68
79,Pevek,RU,2022-11-21 20:59:12,69.7008,170.3133,249.88,97,100,5.57
80,Berlevag,NO,2022-11-21 20:59:13,70.8578,29.0864,277.12,75,40,3.6
81,Jamestown,US,2022-11-21 20:57:30,42.097,-79.2353,277.33,47,55,1.34
82,Los Llanos De Aridane,ES,2022-11-21 20:58:00,28.6585,-17.9182,292.01,80,75,4.12
83,Severo-Kurilsk,RU,2022-11-21 20:59:14,50.6789,156.125,278.34,84,100,8.8
84,Nikolskoye,RU,2022-11-21 20:59:15,59.7035,30.7861,266.09,92,54,2.17
85,Tuktoyaktuk,CA,2022-11-21 20:59:15,69.4541,-133.0374,264.15,92,100,1.03
86,Kashary,RU,2022-11-21 20:59:16,49.04,41.0056,284.36,90,100,0.41
87,Edirne,TR,2022-11-21 20:59:17,41.6772,26.556,284.15,78,99,2.57
88,Hermanus,ZA,2022-11-21 20:59:17,-34.4187,19.2345,291.37,72,90,2.27
89,Arraial Do Cabo,BR,2022-11-21 20:59:18,-22.9661,-42.0278,298.13,78,40,10.29
90,San Quintin,MX,2022-11-21 20:59:19,30.4833,-115.95,294.75,23,82,2.55
91,Hoopstad,ZA,2022-11-21 20:59:19,-27.8327,25.9083,297.49,30,100,4.23
92,Glinka,RU,2022-11-21 20:59:20,54.6404,32.8781,269.99,96,100,5.26
93,Anloga,GH,2022-11-21 21:00:20,5.7947,0.8973,300.38,80,80,5.21
94,Klaksvik,FO,2022-11-21 21:00:21,62.2266,-6.589,277.66,70,92,11.73
95,Eureka,US,2022-11-21 20:56:27,40.8021,-124.1637,291.59,85,44,2.24
96,Omboue,GA,2022-11-21 21:00:23,-1.5746,9.2618,297.38,90,53,2.91
97,Xiaoweizhai,CN,2022-11-21 21:00:25,26.1903,107.5125,289.88,99,99,1.04
98,San Policarpo,PH,2022-11-21 21:00:26,12.1791,125.5072,300.17,83,74,4.28
99,Ndele,CF,2022-11-21 21:00:27,8.4109,20.6473,296.87,27,49,1.67
100,Hovd,MN,2022-11-21 20:59:03,48.0056,91.6419,267.29,49,89,3.08
101,Praia,CV,2022-11-21 21:00:29,14.9215,-23.5087,297.86,70,88,7.61
102,Arman,RU,2022-11-21 21:00:30,59.7,150.1667,267.44,93,100,4.74
103,Victoria,HK,2022-11-21 20:56:42,22.2855,114.1577,297.25,87,100,4.92
104,Bandarbeyla,SO,2022-11-21 21:00:31,9.4942,50.8122,298.64,70,75,7.91
105,Mount Gambier,AU,2022-11-21 21:00:32,-37.8333,140.7667,284.82,79,100,5.75
106,Prado,BR,2022-11-21 21:00:33,-17.3411,-39.2208,295.47,94,100,2.96
107,New Norfolk,AU,2022-11-21 21:00:34,-42.7826,147.0587,282.55,74,83,2.24
108,Cape Town,ZA,2022-11-21 21:00:34,-33.9258,18.4232,292.09,63,79,2.68
109,Lompoc,US,2022-11-21 21:00:35,34.6391,-120.4579,297.05,36,100,0.89
110,Kondol,RU,2022-11-21 21:00:36,52.8189,45.058,273.3,90,98,5.0
111,Bluff,NZ,2022-11-21 21:00:36,-46.6,168.3333,286.93,64,86,2.97
112,Cedral,MX,2022-11-21 21:00:37,23.8,-100.7333,289.55,69,100,6.1
113,Saskylakh,RU,2022-11-21 21:00:38,71.9167,114.0833,237.4,100,64,2.34
114,Torbay,CA,2022-11-21 21:00:07,47.6666,-52.7314,275.14,78,98,7.6
115,Maceio,BR,2022-11-21 21:00:11,-9.6658,-35.7353,298.84,83,20,3.6
116,Yerbogachen,RU,2022-11-21 21:00:39,61.2767,108.0108,251.29,99,100,0.95
117,Balotra,IN,2022-11-21 21:00:40,25.8333,72.2333,293.01,28,2,2.45
118,Huanren,CN,2022-11-21 21:00:40,41.2647,125.3667,271.98,81,57,1.26
119,Kuzino,RU,2022-11-21 21:00:41,57.0224,59.4412,260.9,88,30,3.4
120,Nuristan,AF,2022-11-21 21:00:42,35.3,70.8333,262.92,46,0,6.34
121,Fuerte Olimpo,PY,2022-11-21 21:00:43,-21.0415,-57.8738,297.04,88,96,1.58
122,Ribeira Grande,PT,2022-11-21 21:00:44,38.5167,-28.7,293.02,94,40,8.75
123,Broken Hill,AU,2022-11-21 21:00:44,-31.95,141.4333,283.73,54,88,3.18
124,East London,ZA,2022-11-21 21:00:45,-33.0153,27.9116,293.96,80,21,2.09
125,Inyonga,TZ,2022-11-21 21:00:46,-6.7167,32.0667,291.07,92,100,0.88
126,Coahuayana,MX,2022-11-21 21:00:46,18.7333,-103.6833,303.67,58,56,2.27
127,Navoloki,RU,2022-11-21 21:00:47,57.4657,41.9634,264.31,92,48,1.57
128,Takhatpur,IN,2022-11-21 21:00:48,22.15,81.8667,288.26,50,100,2.71
129,Cochabamba,BO,2022-11-21 21:00:17,-17.3895,-66.1568,292.74,57,87,3.19
130,Shimoda,JP,2022-11-21 21:00:48,34.6667,138.95,289.53,80,51,2.26
131,Diourbel,SN,2022-11-21 21:00:50,14.6628,-16.3925,301.03,21,13,3.83
132,Ereymentau,KZ,2022-11-21 21:00:51,51.6199,73.1033,261.92,98,87,2.67
133,Nizhniy Odes,RU,2022-11-21 21:00:52,63.6445,54.856,253.19,99,95,1.63
134,Bambous Virieux,MU,2022-11-21 21:00:52,-20.3428,57.7575,296.6,75,1,3.39
135,Singaraja,ID,2022-11-21 21:00:53,-8.112,115.0882,299.29,83,89,0.09
136,Kattivakkam,IN,2022-11-21 21:00:54,13.2167,80.3167,297.2,90,100,7.64
137,Miri,MY,2022-11-21 21:00:54,4.4148,114.0089,297.63,93,81,2.12
138,Vila Franca Do Campo,PT,2022-11-21 21:00:55,37.7167,-25.4333,292.7,92,100,5.83
139,Lata,PT,2022-11-21 21:00:56,40.1629,-8.3327,284.86,79,100,3.2
140,Lebedyan,RU,2022-11-21 21:00:56,53.0194,39.1664,273.51,97,100,5.0
141,Aleksandrov Gay,RU,2022-11-21 21:01:57,50.147,48.5704,276.87,98,100,4.19
142,Richards Bay,ZA,2022-11-21 21:01:58,-28.783,32.0377,294.1,69,86,5.8
143,Randazzo,IT,2022-11-21 21:01:58,37.8774,14.9501,283.72,78,62,2.66
144,Talnakh,RU,2022-11-21 21:01:59,69.4865,88.3972,242.84,94,99,1.05
145,Harper,LR,2022-11-21 21:01:59,4.375,-7.7169,298.8,84,51,3.05
146,Upernavik,GL,2022-11-21 21:02:00,72.7868,-56.1549,259.87,96,94,3.02
147,Hobart,AU,2022-11-21 21:00:23,-42.8794,147.3294,282.74,74,40,6.69
148,Bubaque,GW,2022-11-21 21:02:01,11.2833,-15.8333,301.65,54,82,3.28
149,Guerrero Negro,MX,2022-11-21 21:02:01,27.9769,-114.0611,297.22,27,11,2.5
150,Thompson,CA,2022-11-21 21:00:42,55.7435,-97.8558,264.24,86,75,3.6
151,Shelburne,CA,2022-11-21 20:58:34,44.0787,-80.2041,274.4,72,44,9.89
152,Port Hedland,AU,2022-11-21 21:02:05,-20.3167,118.5667,296.18,60,100,6.17
153,Celestun,MX,2022-11-21 21:02:07,20.8667,-90.4,300.08,75,100,4.78
154,Port Alfred,ZA,2022-11-21 21:02:07,-33.5906,26.891,294.36,91,48,2.68
155,Nchelenge,ZM,2022-11-21 21:02:09,-9.3451,28.734,296.28,76,100,1.04
156,Kantang,TH,2022-11-21 21:02:10,7.4054,99.5156,297.58,91,99,2.6
157,Beringovskiy,RU,2022-11-21 21:02:11,63.05,179.3167,251.85,91,38,8.48
158,Port Hardy,CA,2022-11-21 21:02:12,50.6996,-127.4199,280.87,84,100,7.36
159,Belgaum,IN,2022-11-21 21:02:12,15.8667,74.5,292.3,55,99,2.24
160,Wenling,CN,2022-11-21 21:02:13,28.3669,121.36,289.93,86,49,1.35
161,Tiksi,RU,2022-11-21 21:02:14,71.6872,128.8694,242.5,100,83,1.52
162,Yellowknife,CA,2022-11-21 21:02:15,62.456,-114.3525,266.04,98,99,0.51
163,Padang,ID,2022-11-21 21:02:15,-0.9492,100.3543,297.65,85,98,1.35
164,Carauari,BR,2022-11-21 21:02:16,-4.8828,-66.8958,300.45,86,100,1.48
165,Tempio Pausania,IT,2022-11-21 21:02:17,40.8974,9.1035,283.66,97,100,5.12
166,Sakaiminato,JP,2022-11-21 21:02:18,35.55,133.2333,288.02,74,100,1.64
167,Kruisfontein,ZA,2022-11-21 21:02:20,-34.0033,24.7314,291.97,86,65,2.98
168,Perelyub,RU,2022-11-21 21:02:21,51.8667,50.3667,272.75,95,100,2.73
169,Cascais,PT,2022-11-21 21:02:21,38.6979,-9.4215,288.67,75,91,6.26
170,Kanniyakumari,IN,2022-11-21 21:02:23,8.0833,77.5667,298.5,79,10,5.39
171,Cherskiy,RU,2022-11-21 21:02:24,68.75,161.3,236.21,100,86,1.54
172,Barabai,ID,2022-11-21 21:02:24,-2.5833,115.3833,296.48,98,100,0.77
173,Humberto De Campos,BR,2022-11-21 21:02:25,-2.5983,-43.4611,299.97,72,91,3.18
174,Emerald,AU,2022-11-21 21:02:26,-23.5333,148.1667,295.01,42,80,9.42
175,Linguere,SN,2022-11-21 21:02:26,15.3953,-15.1193,302.11,16,22,4.5
176,Comodoro Rivadavia,AR,2022-11-21 21:02:27,-45.8667,-67.5,302.07,8,0,7.2
177,Birjand,IR,2022-11-21 21:02:28,32.8663,59.2211,280.61,46,0,1.69
178,Scarborough,GB,2022-11-21 21:02:28,54.2797,-0.4044,281.43,90,100,3.58
179,Nishihara,JP,2022-11-21 21:02:29,26.1842,127.7558,295.75,88,75,2.06
180,Goderich,CA,2022-11-21 21:01:48,43.7501,-81.7165,277.54,77,91,13.04
181,Mago,RU,2022-11-21 21:02:30,53.2514,140.1822,263.88,98,100,1.25
182,Jucas,BR,2022-11-21 21:02:30,-6.5253,-39.5275,304.27,28,25,2.46
183,Chimoio,MZ,2022-11-21 21:02:31,-19.1164,33.4833,293.07,94,40,1.01
184,Port Augusta,AU,2022-11-21 21:02:32,-32.5,137.7667,286.24,54,69,3.52
185,Tasiilaq,GL,2022-11-21 21:02:32,65.6145,-37.6368,276.24,89,100,5.82
186,Labuhan,ID,2022-11-21 21:03:33,-6.8844,112.2051,299.08,85,96,3.4
187,Koppa,IN,2022-11-21 21:01:08,13.5304,75.3633,289.56,69,100,1.3
188,Tessalit,ML,2022-11-21 21:03:34,20.1986,1.0114,294.33,15,98,4.87
189,Chapais,CA,2022-11-21 21:03:35,49.7834,-74.8492,266.03,94,100,4.91
190,Shiyan,CN,2022-11-21 21:00:28,32.6475,110.7781,285.1,93,100,1.48
191,Oktyabrskiy,RU,2022-11-21 21:03:36,54.4815,53.471,261.41,98,100,0.13
192,Lovozero,RU,2022-11-21 21:03:36,68.005,35.0117,270.46,88,100,2.37
193,Berbera,SO,2022-11-21 21:03:37,10.4396,45.0143,299.58,56,100,3.55
